traffic_level,road_condition,weather_severity,road_capacity,historical_delay,distance,demand_level,vehicle_load,previous_disruptions,disruption_prob,disruption
0.437,0.336,0.572,0.719,30.0,33.0,0.723,0.351,0,0.964,1
0.956,0.322,0.805,0.338,41.3,29.6,0.264,0.363,0,0.999,1
0.759,0.916,0.76,0.898,20.5,16.6,0.394,0.756,1,0.928,1
0.639,0.325,0.154,0.69,54.3,52.4,0.819,0.641,1,0.985,1
0.24,0.345,0.149,0.326,18.6,41.6,0.623,0.853,1,0.933,0
0.24,0.783,0.268,0.97,12.8,73.9,0.942,0.941,1,0.339,1
0.152,0.505,0.361,0.615,25.0,4.7,0.543,0.572,0,0.815,1
0.88,0.799,0.408,0.258,26.5,55.4,0.896,0.717,1,0.986,1
0.641,0.159,0.68,0.701,33.8,65.3,0.559,0.65,1,0.996,1
0.737,0.539,0.057,0.403,19.0,65.0,0.983,0.987,5,0.989,1
0.119,0.13,0.035,0.843,30.4,75.5,0.968,0.882,1,0.813,1
0.973,0.156,0.392,0.854,33.2,62.5,0.463,0.938,2,0.995,1
0.849,0.916,0.697,0.983,36.4,79.0,0.909,0.478,2,0.97,1
0.291,0.225,0.193,0.601,11.0,29.6,0.878,0.841,2,0.915,1
0.264,0.579,0.642,0.564,23.5,43.8,0.369,0.486,3,0.977,1
0.265,0.47,0.26,0.803,28.8,3.2,0.699,0.446,2,0.873,1
0.374,0.413,0.886,0.306,19.0,2.6,0.258,0.961,1,0.996,1
0.572,0.91,0.896,0.638,28.7,21.9,0.869,0.314,1,0.973,1
0.489,0.12,0.297,0.637,21.4,10.4,0.34,0.976,2,0.983,1
0.362,0.697,0.23,0.272,42.7,23.6,0.257,0.404,1,0.955,1
0.651,0.967,0.411,0.534,26.6,16.7,0.52,0.874,3,0.962,1
0.226,0.604,0.241,0.883,33.3,4.4,0.662,0.493,4,0.898,1
0.363,0.943,0.672,0.885,33.3,77.5,0.884,0.545,2,0.902,1
0.43,0.147,0.826,0.279,18.7,2.7,0.979,0.452,1,0.997,1
0.51,0.477,0.673,0.273,16.7,63.1,0.552,0.71,0,0.986,1
0.807,0.334,0.824,0.41,28.0,14.6,0.248,0.544,1,0.998,1
0.28,0.758,0.397,0.9,33.2,77.7,0.799,0.76,1,0.767,1
0.563,0.983,0.156,0.303,17.9,76.1,0.652,0.311,0,0.65,0
0.633,0.331,0.738,0.776,27.0,56.3,0.558,0.345,0,0.983,1
0.142,0.689,0.36,0.281,28.2,57.8,0.447,0.37,0,0.857,1
0.647,0.278,0.671,0.699,22.7,2.4,0.602,0.593,1,0.989,1
0.253,0.609,0.271,0.485,21.8,83.7,0.471,0.87,3,0.94,1
0.159,0.518,0.081,0.831,8.2,74.9,0.806,0.922,1,0.38,0
0.954,0.975,0.993,0.387,25.6,76.3,0.635,0.471,1,0.995,1
0.969,0.648,0.156,0.711,48.0,56.7,0.901,0.702,1,0.976,1
0.828,0.415,0.988,0.389,22.3,30.6,0.635,0.838,2,0.999,1
0.374,0.203,0.977,0.771,14.1,76.2,0.391,0.502,5,0.998,1
0.188,0.236,0.794,0.899,33.7,26.2,0.881,0.586,2,0.987,1
0.716,0.303,0.659,0.301,24.3,48.7,0.646,0.667,3,0.999,1
0.496,0.326,0.578,0.893,66.6,10.3,0.365,0.394,3,0.998,1
0.21,0.866,0.866,0.675,63.7,78.5,0.699,0.318,1,0.987,1
0.546,0.605,0.289,0.302,18.3,13.7,0.486,0.407,2,0.957,1
0.131,0.571,0.468,0.542,3.9,20.7,0.876,0.739,1,0.781,1
0.918,0.203,0.619,0.329,41.3,48.3,0.563,0.352,0,0.999,1
0.333,0.874,0.411,0.76,17.3,65.4,0.781,0.433,1,0.634,0
0.696,0.751,0.427,0.807,19.0,53.4,0.276,0.536,5,0.97,1
0.381,0.161,0.33,0.285,28.0,21.3,0.517,0.355,1,0.986,1
0.568,0.737,0.564,0.605,14.7,2.1,0.987,0.434,2,0.941,1
0.592,0.589,0.851,0.852,45.4,64.8,0.847,0.938,1,0.992,1
0.266,0.174,0.202,0.949,8.9,83.8,0.328,0.314,2,0.772,1
0.973,0.512,0.934,0.611,26.4,69.2,0.422,0.757,5,1.0,1
0.798,0.536,0.689,0.96,22.8,40.2,0.464,0.569,0,0.955,1
0.946,0.249,0.823,0.629,72.0,77.0,0.72,0.771,1,1.0,1
0.905,0.951,0.556,0.515,40.4,36.0,0.806,0.712,2,0.991,1
0.638,0.865,0.78,0.879,40.2,45.6,0.8,0.456,1,0.97,1
0.93,0.702,0.016,0.594,30.8,41.6,0.608,0.893,3,0.967,1
0.18,0.516,0.818,0.578,10.6,39.2,0.849,0.644,2,0.966,1
0.276,0.471,0.04,0.592,10.9,66.3,0.55,0.876,4,0.872,1
0.141,0.686,0.89,0.877,13.3,45.7,0.299,0.584,2,0.903,1
0.393,0.591,0.992,0.866,21.9,28.3,0.652,0.989,0,0.962,1
0.45,0.156,0.294,0.523,26.2,23.4,0.962,0.839,1,0.981,1
0.344,0.561,0.21,0.467,13.1,5.1,0.834,0.976,2,0.901,0
0.846,0.826,0.765,0.594,65.7,50.4,0.663,0.66,1,0.998,1
0.421,0.513,0.253,0.658,13.3,21.1,0.717,0.632,3,0.906,1
0.353,0.147,0.866,0.391,59.4,14.3,0.944,0.829,1,1.0,1
0.588,0.808,0.103,0.835,14.9,56.3,0.543,0.916,4,0.788,0
0.227,0.281,0.126,0.589,15.5,58.5,0.465,0.975,2,0.897,1
0.822,0.333,0.979,0.467,26.6,64.4,0.982,0.527,0,0.998,1
0.167,0.248,0.674,0.285,13.1,43.8,0.891,0.859,3,0.995,1
0.988,0.397,0.847,0.391,37.4,76.2,0.458,0.447,0,0.999,1
0.795,0.781,0.324,0.959,28.5,79.7,0.571,0.682,1,0.849,1
0.279,0.567,0.676,0.444,15.0,69.0,0.532,0.426,3,0.978,1
0.105,0.284,0.594,0.335,22.4,54.8,0.319,0.543,0,0.97,1
0.834,0.89,0.603,0.569,38.2,27.2,0.966,0.952,4,0.996,1
0.736,0.892,0.683,0.446,45.3,83.6,0.523,0.402,0,0.986,1
0.756,0.884,0.575,0.228,23.2,24.8,0.9,0.743,4,0.996,1
0.794,0.315,0.429,0.459,34.0,18.8,0.351,0.715,2,0.997,1
0.167,0.506,0.276,0.635,17.4,38.7,0.638,0.385,2,0.813,0
0.423,0.986,0.769,0.641,17.5,6.7,0.219,0.528,2,0.922,1
0.204,0.795,0.226,0.485,15.1,83.2,0.811,0.694,1,0.654,1
0.877,0.124,0.692,0.558,27.6,50.8,0.665,0.431,1,0.998,1
0.661,0.159,0.233,0.972,18.8,48.2,0.7,0.86,0,0.883,1
0.398,0.518,0.625,0.502,13.6,56.4,0.241,0.981,4,0.99,1
0.157,0.918,0.747,0.407,5.6,43.3,0.369,0.45,1,0.821,0
0.38,0.585,0.219,0.395,26.7,4.7,0.259,0.431,0,0.87,1
0.393,0.548,0.06,0.566,26.0,52.8,0.431,0.618,1,0.82,1
0.757,0.195,0.131,0.808,64.0,61.4,0.702,0.823,1,0.993,1
0.674,0.691,0.606,0.365,36.5,36.6,0.653,0.497,1,0.991,1
0.898,0.84,0.849,0.767,23.3,64.9,0.69,0.314,0,0.969,1
0.525,0.442,0.045,0.217,45.5,20.8,0.639,0.679,1,0.985,1
0.208,0.798,0.734,0.535,35.0,20.4,0.418,0.97,2,0.979,1
0.742,0.968,0.341,0.821,27.3,15.4,0.396,0.574,3,0.902,1
0.785,0.283,0.479,0.471,32.8,32.9,0.31,0.594,1,0.995,1
0.605,0.571,0.929,0.651,71.1,72.3,0.879,0.978,0,0.999,1
0.794,0.358,0.332,0.364,31.2,70.7,0.693,0.786,2,0.996,1
0.544,0.814,0.465,0.794,49.0,33.8,0.349,0.803,2,0.969,1
0.57,0.62,0.014,0.242,15.6,50.9,0.342,0.694,1,0.891,1
0.485,0.671,0.082,0.882,15.3,61.8,0.898,0.982,0,0.416,0
0.123,0.818,0.259,0.359,11.8,22.0,0.794,0.782,1,0.686,0
